title,authors,Last Date Read,My Rating,genre,series_type,my_tags,goodreads_shelves
The Heroes,Joe Abercrombie,2026/05/11,4.0,Fantasy,Long Series,"*tbr, Epic Fantasy","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Military & War"
Dreams of Sorrow,Shauna Lawless,2026/05/11,4.75,Fantasy,Short Series,Epic Fantasy,"Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Mythology"
The Words of Kings and Prophets,Shauna Lawless,2026/05/05,4.5,Fantasy,Short Series,"Epic Fantasy, Indie","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Ireland, Medieval, Mythology"
Empire of AI,Karen Hao,2026/04/16,4.0,Nonfiction,Standalone,Nonfiction,"Economics & Business, Social Aspects, Nonfiction, Technology, Science"
There Is No Antimemetics Division,qntm,2026/04/09,4.75,Science Fiction,Standalone,"Dystopian, Cosmic Horror, Short Stories, Sci-Fi Horror, *tbr","Speculative Fiction, Fiction, Contemporary, Fantasy, Horror, Science Fiction, Mystery, Philosophy, Sci-Fi Horror, Thriller, Dystopian, Short Stories, Cosmic Horror"
Twelve Months,Jim Butcher,2026/03/31,4.75,Fantasy,Long Series,"Detective, Urban Fantasy","Contemporary, Mythology, Urban Fantasy, Fantasy, Thriller, Vampires, Humor, Science Fiction, Fae, Speculative Fiction, Supernatural, Fiction, Detective, Mystery, Horror, Adventure"
Contact,Carl Sagan,2026/03/27,5.0,Science Fiction,Standalone,"First Contact, Hard Sci-Fi, *tbr, Aerospace","Adventure, Aerospace, Aliens, Classics, Fantasy, Fiction, First Contact, Hard Sci-Fi, Hard Science Fiction, Philosophy, Religion, Science"
Dreams of Fire,Shauna Lawless,2026/03/18,4.0,Fantasy,Short Series,"Epic Fantasy, Short Stories","Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Ireland, Mythology, Short Stories"
Nobody's Girl: A Memoir of Surviving Abuse and Fighting for Justice,Virginia Roberts Giuffre,2026/03/09,4.75,Nonfiction,Standalone,"Biography, Nonfiction, History","Biography, Contemporary, Crime, Feminism, History, Nonfiction, Politics, Social Issues"
The Children of Gods and Fighting Men,Shauna Lawless,2026/03/09,4.0,Fantasy,Short Series,Epic Fantasy,"Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Ireland, Medieval, Mythology, Norse, Vikings"
Morning Star,Pierce Brown,2026/02/24,5.0,Science Fiction,Long Series,"Dystopian, *completed, Space Opera","Adventure, Dystopian, Fantasy, Fiction, Military & War, Science, Science Fiction, Space Opera, Young Adult"
